game_id,week,home_team,away_team,start_date,my_spread,posted_date
401856766,1,TCU,North Carolina,2026-08-29T16:00:00.000Z,-4.5,2026-07-11
401864494,1,USC,San José State,2026-08-29T19:00:00.000Z,-24.5,2026-07-11
401858202,1,Virginia,NC State,2026-08-29T19:30:00.000Z,-8.5,2026-07-11
401864577,1,North Dakota State,Jacksonville State,2026-08-29T21:30:00.000Z,-11.5,2026-07-11
401866408,1,Eastern Michigan,Sacramento State,2026-08-29T22:30:00.000Z,-10.5,2026-07-11
401864570,1,Florida State,New Mexico State,2026-08-29T23:00:00.000Z,-26.5,2026-07-11
401858201,1,Stanford,Hawai'i,2026-08-29T23:00:00.000Z,-3.5,2026-07-11
401862693,1,UNLV,Memphis,2026-08-30T02:00:00.000Z,-4.5,2026-07-11
401858423,1,Rutgers,Massachusetts,2026-09-03T22:00:00.000Z,-27.5,2026-07-11
401856767,1,UCF,Bethune-Cookman,2026-09-03T23:00:00.000Z,-38.5,2026-07-11
401866409,1,Buffalo,UAlbany,2026-09-03T23:00:00.000Z,-20.5,2026-07-11
401864424,1,Delaware,Merrimack,2026-09-03T23:00:00.000Z,-13.5,2026-07-11
401864425,1,Kennesaw State,West Georgia,2026-09-03T23:00:00.000Z,-9.5,2026-07-11
401858204,1,Wake Forest,Akron,2026-09-03T23:00:00.000Z,-16.5,2026-07-11
401856663,1,Missouri,Arkansas-Pine Bluff,2026-09-04T00:00:00.000Z,-34.5,2026-07-11
401856776,1,Georgia Tech,Colorado,2026-09-04T00:00:00.000Z,-3.5,2026-07-11
401858422,1,Minnesota,Eastern Illinois,2026-09-04T00:00:00.000Z,-30.5,2026-07-11
401856768,1,Utah,Idaho,2026-09-04T01:00:00.000Z,-20.5,2026-07-11
401858424,1,Illinois,UAB,2026-09-04T01:00:00.000Z,-23.5,2026-07-11
401864495,1,Eastern Michigan,San José State,2026-09-04T22:30:00.000Z,-3.5,2026-07-11
401858435,1,Purdue,Indiana State,2026-09-04T23:00:00.000Z,-25.5,2026-07-11
401866623,1,Georgia State,North Carolina A&T,2026-09-04T23:00:00.000Z,-30.5,2026-07-11
401856769,1,Kansas,Long Island University,2026-09-05T00:00:00.000Z,-16.5,2026-07-11
401856664,1,Oklahoma,UTEP,2026-09-05T00:00:00.000Z,-34.5,2026-07-11
401858429,1,Michigan State,Toledo,2026-09-05T00:00:00.000Z,-10.5,2026-07-11
401858436,1,USC,Fresno State,2026-09-05T01:00:00.000Z,-19.5,2026-07-11
401858206,1,Stanford,Miami,2026-09-05T01:00:00.000Z,26.5,2026-07-11
401861962,1,UConn,Lafayette,2026-09-05T04:00:00.000Z,-27.5,2026-07-11
401858425,1,Indiana,North Texas,2026-09-05T16:00:00.000Z,-30.5,2026-07-11
401858207,1,Pittsburgh,Miami (OH),2026-09-05T16:00:00.000Z,-20.5,2026-07-11
401858430,1,Nebraska,Ohio,2026-09-05T16:00:00.000Z,-15.5,2026-07-11
401858208,1,Syracuse,New Hampshire,2026-09-05T16:00:00.000Z,-37.5,2026-07-11
401856780,1,West Virginia,Coastal Carolina,2026-09-05T16:00:00.000Z,-15.5,2026-07-11
401856778,1,Houston,Oregon State,2026-09-05T16:00:00.000Z,-20.5,2026-07-11
401864496,1,Air Force,Duquesne,2026-09-05T16:00:00.000Z,-28.5,2026-07-11
401856634,1,Alabama,East Carolina,2026-09-05T16:00:00.000Z,-30.5,2026-07-11
401862701,1,Army,Bryant,2026-09-05T16:00:00.000Z,-23.5,2026-07-11
401866410,1,Bowling Green,Tarleton State,2026-09-05T16:00:00.000Z,-19.5,2026-07-11
401869960,1,James Madison,Liberty,2026-09-05T16:00:00.000Z,-9.5,2026-07-11
